query,intent,entities_json
"I need linkedin networking strategy for referrals",networking,"{}"
"How to get referrals on LinkedIn",networking,"{}"
"Help me build my professional network",networking,"{}"
"How should I prepare for technical interviews",interview_prep,"{}"
"Give me interview preparation roadmap",interview_prep,"{}"
"What HR round questions should I expect",interview_prep,"{}"
"Create a learning roadmap for data science",learning_path,"{}"
"What should I learn first for machine learning",learning_path,"{}"
"Suggest a study plan for backend development",learning_path,"{}"
"Which job role matches my profile",job_matching,"{}"
"Am I eligible for data engineer roles",job_matching,"{}"
"Find role fit for my current skills",job_matching,"{}"
"Recommend the best career option for me",recommendation,"{}"
"Please suggest top roles based on my interests",recommendation,"{}"
"I need recommendation for my profile",recommendation,"{}"
"I want to give feedback on recommendations",feedback,"{}"
"My rating is 4 can you improve suggestions",feedback,"{}"
"This recommendation was not helpful",feedback,"{}"
"I am confused about my career path",career_assessment,"{}"
"Help me decide between higher studies and job",career_assessment,"{}"
"What should I do next in my career",career_assessment,"{}"
"Should I target data analyst or ml engineer",career_assessment,"{}"
"How to improve my portfolio for placements",learning_path,"{}"
"Can you recommend role based on my skills",recommendation,"{}"
"Need mock interview plan for product analyst",interview_prep,"{}"
"Guide me for campus placement networking",networking,"{}"
"Best role fit with python sql and docker",job_matching,"{}"
"Share feedback tags for this recommendation",feedback,"{}"
